,OG_INTL_FREE_CALL_MOU,OG_ONN_FREE_CALL_MOU,FREE_GPRS_MB,TOTAL_REVENUE,TOTAL_REVENUE_VAS,ROAMING_REV,F_CHURN_3M,MONTH
153756,,,146.89600000000002,24.1,12.05,0.0,1,october
1067287,,,79948.367,18.0,9.0,0.0,1,october
80634,,,0.0,20.0,10.0,0.0,1,october
26577,,58.733000000000004,4037.855,20.0,10.0,0.0,1,october
187401,,,7646.719,18.0,9.0,0.0,1,october
563182,,4.633,1772.851,34.722,17.413,0.0,1,october
1385114,,545.8,2550.5229999999997,60.0,33.1,0.0,1,october
681011,,24.533,2090.411,25.51,14.555,0.0,1,october
633240,,,29778.197,18.0,9.0,0.0,1,october
49780,,,25310.391,18.0,9.0,0.0,1,october
1030430,,,2412.675,36.0,18.0,0.0,1,october
186917,,,64111.780999999995,36.0,18.0,0.0,1,october
949389,,,973.8530000000001,26.0,13.0,0.0,1,october
308158,,,2707.1490000000003,18.0,9.0,0.0,1,october
1260094,,,77872.43,36.04,18.02,0.0,1,october
250178,10.0,40.85,13129.423999999999,30.0,15.0,0.0,1,october
692662,,,29740.328999999998,18.0,9.0,0.0,1,october
1390387,1.8,225.767,28054.324,43.48,21.74,0.0,1,october
1128049,0.85,1.4669999999999999,2052.407,20.0,10.0,0.0,1,october
270835,,,16536.09,18.0,9.0,0.0,1,october
698136,,,79612.54,26.0,13.0,0.0,1,october
845038,,,,,,,1,october
401970,8.633,329.81699999999995,99826.01800000001,101.212,53.406000000000006,0.0,1,october
864516,,,,,,,1,october
941944,,,53566.337,18.0,9.0,0.0,1,october
1238680,,622.283,29956.688,60.1,33.3,0.0,1,october
793832,,,0.0,24.0,12.0,0.0,1,october
84072,,,0.0,4.0,2.0,0.0,1,october
1251166,,,66088.2,22.0,11.0,0.0,1,october
1270555,,,50160.793,36.0,18.0,0.0,1,october
1127549,,,0.0,20.0,10.0,0.0,1,october
1216913,,25.5,7037.266,20.0,10.0,0.0,1,october
1456721,,,0.094,60.0,30.0,0.0,1,october
941961,,,0.0,20.0,10.0,0.0,1,october
1276594,,,25816.605,36.0,18.0,0.0,1,october
212507,,,136637.503,26.0,13.0,0.0,1,october
1016541,,,516.691,60.0,30.0,0.0,1,october
163883,,,2367.538,32.0,16.0,0.0,1,october
1404335,,191.667,2694.232,42.193999999999996,21.096999999999998,0.0,1,october
82488,,,22323.582000000002,18.0,9.0,0.0,1,october
350121,,37.2,2235.652,21.732,10.866,0.0,1,october
369642,,,,,,,1,october
1290495,,,0.0,363.666,181.833,0.0,1,october
937393,,29.483,6719.27,20.0,10.0,0.0,1,october
134710,,,15343.479,18.0,9.0,0.0,1,october
1349989,6.7,6.85,423.26800000000003,20.0,10.0,0.0,1,october
403288,6.082999999999999,1.433,499.731,21.68,10.84,0.0,1,october
679040,,,0.0,24.0,12.0,0.0,1,october
1076219,,317.3,60403.149000000005,67.26,33.63,0.0,1,october
1255287,,,17814.753,18.0,9.0,0.0,1,october
1238201,,,17092.283,18.0,9.0,0.0,1,october
588386,,,53165.997,18.0,9.0,0.0,1,october
1073432,,,15203.737,36.0,18.0,0.0,1,october
295560,,,,,,,1,october
245514,,235.833,5006.955,86.29,43.145,12.85,1,october
1070996,,,69055.598,36.0,18.0,0.0,1,october
477026,,,29189.931,36.0,18.0,0.0,1,october
737250,,,0.0,4.0,2.0,0.0,1,october
1253216,,,,,,,1,october
834184,,,25080.567000000003,26.0,13.0,0.0,1,october
1130683,0.5329999999999999,452.783,29322.262000000002,179.162,89.581,0.0,1,october
966661,,,47577.277,26.0,13.0,0.0,1,october
1278708,,80.05,1337.94,70.396,35.498000000000005,0.0,1,october
208391,,,69823.003,26.0,13.0,0.0,1,october
972672,,,74130.027,18.0,13.5,0.0,1,october
194260,54.933,,3966.099,28.534000000000002,14.267000000000001,0.0,1,october
481474,,,61983.095,30.6,15.3,0.0,1,october
714301,,20.467,1221.497,24.0,12.0,0.0,1,october
953171,,,42960.95,18.0,9.0,0.0,1,october
237233,,,43121.715,18.0,9.0,0.0,1,october
168432,,,5938.783,22.0,11.0,0.0,1,october
609361,,,14298.69,18.0,9.0,0.0,1,october
822741,,,0.0,30.0,15.0,0.0,1,october
12268,,280.3,19031.255,60.58,30.29,0.0,1,october
18727,,28.85,805.21,30.3,15.15,0.15,1,october
1059904,,,55916.69,18.0,9.0,0.0,1,october
1169799,9.3,29.2,8890.127,20.0,10.0,0.0,1,october
642983,,,30327.57,18.0,9.0,0.0,1,october
174709,7.082999999999999,32.983000000000004,8051.016,58.298,29.149,0.0,1,october
183398,,,442.461,0.0,0.0,0.0,1,october
580154,,,16046.284,18.0,9.0,0.0,1,october
451019,,,,,,,1,october
839294,,262.4,81877.483,112.49,56.245,0.0,1,october
435210,,,42966.774000000005,18.0,9.0,0.0,1,october
279574,,14.533,563.0459999999999,24.39,15.945,0.0,1,october
890244,,,38822.98,36.0,18.0,0.0,1,october
102166,,,0.0,30.0,15.0,0.0,1,october
976303,,,9226.81,18.0,9.0,0.0,1,october
500676,,,5753.318,36.0,18.0,0.0,1,october
1151839,,,24900.262000000002,36.0,18.0,0.0,1,october
1347522,,,2000.769,134.838,67.419,0.0,1,october
242227,,,49390.183,18.0,9.0,0.0,1,october
303868,,,92472.67300000001,18.0,9.0,0.0,1,october
928534,,,0.0,68.0,34.0,0.0,1,october
53574,,,32357.147,18.0,9.0,0.0,1,october
271336,,,2801.583,18.0,9.0,0.0,1,october
643879,,,,,,,1,october
1247352,,,8852.72,22.0,11.0,0.0,1,october
516584,,194.55,8611.358,30.1,15.05,0.0,1,october
10453,,3.9330000000000003,0.0,26.156,13.078,0.0,1,october
667206,,,5552.944,18.0,9.0,0.0,1,october
412915,,26.433000000000003,469.05300000000005,30.0,15.0,0.0,1,october
942736,,,,,,,1,october
977563,,,82859.398,36.0,18.0,0.0,1,october
594621,,,114553.04,36.0,18.0,0.0,1,october
445586,,,27497.315,18.0,9.0,0.0,1,october
411699,,,,,,,1,october
330711,,,7659.441,18.0,9.0,0.0,1,october
352109,,0.1,2081.877,24.182,12.091,0.0,1,october
966159,,,49859.301,26.0,13.0,0.0,1,october
1353032,,,0.0,1.0,0.5,0.0,1,october
995726,,,8654.347,18.0,9.0,0.0,1,october
641932,,,21276.847999999998,18.0,9.0,0.0,1,october
826822,,,0.0,1.0,0.5,0.0,1,october
160749,,,28387.183999999997,18.0,9.0,0.0,1,october
1076892,,,0.0,60.0,30.0,0.0,1,october
210646,,,72555.98599999999,18.0,9.0,0.0,1,october
719889,,,,,,,1,october
319746,,,37332.883,18.0,9.0,0.0,1,october
449372,,181.567,43903.175,111.4,55.95,0.0,1,october
1380097,,,0.0,177.42,88.71,0.0,1,october
446513,,,17604.548,18.0,9.0,0.0,1,october
20457,,,0.0,24.0,12.0,0.0,1,october
1399715,,7.367000000000001,14144.157,171.8,85.9,0.0,1,october
1205085,,,8767.456,18.2,9.1,0.0,1,october
1301037,,,0.0,60.0,30.0,0.0,1,october
230404,,,24413.281000000003,18.0,9.0,0.0,1,october
1023219,,,8995.824,36.0,18.0,0.0,1,october
691572,,,0.12300000000000001,26.0,13.0,0.0,1,october
1037896,,,18754.892,18.0,9.0,0.0,1,october
400490,,,10331.269,18.0,9.0,0.0,1,october
488110,,,42941.64,18.0,12.0,0.0,1,october
616622,,14.133,1707.2060000000001,30.0,15.0,0.0,1,october
1244362,,,0.0,18.0,9.0,0.0,1,october
424142,,,2056.32,36.0,18.0,0.0,1,october
302852,,,3605.9120000000003,18.0,9.0,0.0,1,october
560698,,,541.14,0.0,0.0,0.0,1,october
514423,,15.567,3057.869,144.032,72.315,0.0,1,october
708861,,,25530.492000000002,26.0,13.0,0.0,1,october
107565,,,19616.519,18.0,9.0,0.0,1,october
977114,,,33544.13,18.0,9.0,0.0,1,october
8892,,,9.416,20.0,10.0,0.0,1,october
971607,,158.017,84724.75300000001,100.436,50.218,10.027999999999999,1,october
1250468,,,48551.207,18.0,9.0,0.0,1,october
13089,,79.967,624.28,39.116,20.336,0.0,1,october
1078194,,28.767,4663.581,101.51,50.755,0.0,1,october
597400,,,743.2230000000001,24.62,12.31,0.0,1,october
154689,,,30949.382999999998,18.0,9.0,0.0,1,october
460648,,1.0,9209.556,114.25200000000001,59.6,0.0,1,october
773315,,,82698.718,18.0,9.0,0.0,1,october
491297,,,40797.919,18.0,9.0,0.0,1,october
609618,,,61851.919,18.0,9.0,0.0,1,october
788628,,,15687.151000000002,18.64,9.32,0.0,1,october
1154437,,,11585.067,15.0,7.5,0.0,1,october
983611,,3.717,2233.197,30.0,15.0,0.0,1,october
616420,,,48046.307,36.0,18.0,0.0,1,october
165750,,,,,,,1,october
425447,,,0.0,20.0,10.0,0.0,1,october
1210552,,,33162.665,18.0,9.0,0.0,1,october
1247208,,,33916.789,36.0,18.0,0.0,1,october
202050,,0.317,1599.306,20.0,10.0,0.0,1,october
51405,7.382999999999999,36.333,6207.03,22.48,11.526,0.0,1,october
284426,,,88879.888,18.0,9.0,0.0,1,october
1266897,,,0.0,20.0,10.0,0.0,1,october
246313,,,,,,,1,october
928359,2.95,102.78299999999999,2301.395,20.174,10.087,0.0,1,october
954445,,,42650.195,18.0,9.0,0.0,1,october
851957,,,0.0,60.0,30.0,0.0,1,october
779685,,,266573.84,36.0,18.0,0.0,1,october
212693,34.6,,3016.498,60.111999999999995,30.055999999999997,0.0,1,october
702353,,,455.759,26.0,13.0,0.0,1,october
1252950,,,26760.787,18.0,9.0,0.0,1,october
700942,,,20471.041,0.0,0.0,0.0,1,october
1301915,,85.68299999999999,981.977,294.45,147.225,0.0,1,october
687079,,,70748.47200000001,36.0,18.0,0.0,1,october
1238874,,,0.0,64.0,32.0,0.0,1,october
483295,,,6643.293000000001,18.0,9.0,0.0,1,october
7204,,72.217,9748.847,40.0,20.0,0.0,1,october
1096096,5.8,23.133000000000003,23.521,23.568,12.384,0.0,1,october
697105,,,7473.647,18.0,9.0,0.0,1,october
424833,,,5343.759,0.0,0.0,0.0,1,october
194832,,64.117,5554.128000000001,29.454,14.727,0.0,1,october
927732,,,19744.901,18.0,9.0,0.0,1,october
1288600,,,20195.112,18.0,9.0,0.0,1,october
33271,,584.1669999999999,61087.045,45.07,23.035,0.0,1,october
1018509,,,20724.096999999998,18.0,9.0,0.0,1,october
749090,,,3.0380000000000003,24.0,12.0,0.0,1,october
99814,,,47121.599,18.0,9.0,0.0,1,october
730370,,,0.0,0.0,0.0,0.0,1,october
1255413,,,24404.432,26.0,13.0,0.0,1,october
1285252,,,0.0,362.0,181.0,0.0,1,october
727381,,,0.0,36.0,18.0,0.0,1,october
1157985,,,43064.064000000006,36.0,18.0,0.0,1,october
98203,,40.3,191.74099999999999,33.274,16.637,0.0,1,october
1130405,,105.2,12471.098,40.378,20.189,0.0,1,october
7284,29.133000000000003,4.85,10077.603000000001,20.0,10.0,0.0,1,october
483208,,,0.0,18.0,9.0,0.0,1,october
18503,,25.95,27806.355,81.73,40.865,0.0,1,october
360817,1.5,2.767,748.545,20.0,10.0,0.0,1,october
672397,,,25938.424,18.0,9.0,0.0,1,october
1133311,,98.56700000000001,13243.061000000002,20.0,10.0,0.0,1,october
123452,,,10684.678,18.0,9.0,0.0,1,october
823543,17.867,30.933000000000003,2058.2670000000003,21.1,10.55,0.0,1,october
784610,,,51140.280999999995,36.0,18.0,0.0,1,october
1111801,,,0.0,30.0,15.0,0.0,1,october
1195824,4.083,120.85,6186.451999999999,30.976,15.488,0.0,1,october
263402,,,50975.065,18.0,9.0,0.0,1,october
718167,,,122971.19900000001,36.0,18.0,0.0,1,october
1428033,,98.133,11302.332,307.6,153.8,0.0,1,october
715854,,,10811.101,48.4,24.2,0.0,1,october
1066725,,,22391.166,36.0,18.0,0.0,1,october
873907,,,60202.170999999995,18.0,9.0,0.0,1,october
1153220,,,0.0,18.0,9.0,0.0,1,october
470079,,,47681.187999999995,18.0,9.0,0.0,1,october
117557,,,54078.225999999995,19.0,9.5,0.0,1,october
135779,,,19953.334,18.0,9.0,0.0,1,october
776859,,,29751.29,18.0,9.0,0.0,1,october
871690,,,0.0,20.0,10.0,0.0,1,october
200451,,,0.0,24.0,12.0,0.0,1,october
926482,,216.417,14837.228000000001,30.2,15.1,0.0,1,october
101450,,,,,,,1,october
1256492,,,,,,,1,october
669904,,,77054.775,36.0,18.0,0.0,1,october
778983,,,3768.5440000000003,18.0,9.0,0.0,1,october
212270,,,93381.945,36.0,18.0,0.0,1,october
7783,20.566999999999997,13.95,1425.029,20.588,10.294,0.0,1,october
1096722,19.517,,60.871,20.0,10.0,0.0,1,october
290310,,,5148.759,36.0,18.0,0.0,1,october
300865,,,14824.426000000001,18.0,9.0,0.0,1,october
594417,,0.38299999999999995,15.407,24.0,12.0,0.0,1,october
60936,,,37224.857,18.0,9.0,0.0,1,october
994735,,,,,,,1,october
1319954,,213.833,9530.746,60.0,30.0,0.0,1,october
470598,,,295.29400000000004,22.0,11.0,0.0,1,october
277298,,,24018.151,18.0,9.0,0.0,1,october
43436,,,39753.407999999996,18.0,9.0,0.0,1,october
1092545,,,0.0,20.0,10.0,0.0,1,october
1277149,,,7201.548000000001,36.0,18.0,0.0,1,october
843528,,,7681.34,0.0,0.0,0.0,1,october
296768,,269.967,9508.325,30.0,15.0,0.0,1,october
1389968,,209.55,2580.472,60.0,30.0,0.0,1,october
905184,,44.766999999999996,7246.834,31.23,17.415,0.0,1,october
930961,,219.317,3803.345,30.0,16.25,0.0,1,october
527317,5.317,40.467,3789.493,20.0,10.0,0.0,1,october
104210,,,6847.659000000001,18.0,9.0,0.0,1,october
516614,,93.367,11341.332,40.0,28.0,0.0,1,october
627737,,,9849.543,18.0,9.0,0.0,1,october
525812,,,0.0,24.0,12.0,0.0,1,october
1142080,35.55,0.583,2882.972,20.0,10.0,0.0,1,october
1081823,,8.5,2157.9429999999998,32.34,16.17,0.0,1,october
368342,,,20983.366,18.0,9.0,0.0,1,october
639008,,,8164.525,18.0,9.0,0.0,1,october
1370935,,2.55,18602.578999999998,40.0,20.0,0.0,1,october
983789,,,0.0,48.0,24.0,0.0,1,october
1009802,,197.217,25562.017000000003,167.202,83.601,0.0,1,october
1231723,,,40937.63,18.0,9.0,0.0,1,october
1335902,,2.883,1538.185,43.34,21.891,0.0,1,october
705915,,,13678.794,0.0,0.0,0.0,1,october
1038171,,,23908.881,36.0,18.0,0.0,1,october
77527,,112.26700000000001,32054.078999999998,60.6,30.3,0.0,1,october
1139905,,,94.265,30.0,15.0,0.0,1,october
1411222,,37.7,8467.583,35.07,21.285,0.0,1,october
826817,,,0.0,1.0,0.5,0.0,1,october
1071456,,,14115.667,18.0,9.0,0.0,1,october
938464,,,32373.801,18.0,9.0,0.0,1,october
1123392,33.333,8.667,8363.703000000001,20.0,10.0,0.0,1,october
499530,,,,0.0,0.0,,1,october
14765,,43.25,7509.096,30.0,15.0,0.0,1,october
323253,,,17726.376,18.0,9.0,0.0,1,october
826820,,,0.0,1.0,0.5,0.0,1,october
943112,,,42959.015999999996,18.0,9.0,0.0,1,october
223921,,,0.0,32.0,16.0,0.0,1,october
923427,,,61642.412000000004,36.0,18.0,0.0,1,october
116357,,,0.0,36.0,18.0,0.0,1,october
310515,,,108967.795,26.0,13.0,0.0,1,october
837947,,,57140.986,18.0,9.0,0.0,1,october
64463,,,5624.213000000001,18.0,9.0,0.0,1,october
9463,35.55,3.233,13631.221000000001,20.0,10.0,0.0,1,october
320950,,,0.0,18.0,9.0,0.0,1,october
530706,,45.067,18640.488999999998,298.46,149.23,0.0,1,october
699925,,,128867.68800000001,36.0,18.0,0.0,1,october
547228,0.8170000000000001,337.5,31075.083,52.93,26.465,0.0,1,october
955423,,,17.755,30.0,15.0,0.0,1,october
771742,,,65460.944,18.0,9.0,0.0,1,october
329953,,,4511.151,36.0,18.0,0.0,1,october
644568,,,0.0,36.0,18.0,0.0,1,october
265845,,,17184.837,18.0,9.0,0.0,1,october
1270292,1.4169999999999998,22.9,20.815,20.0,10.0,0.0,1,october
705847,,,49120.807,18.0,9.0,0.0,1,october
96360,,,1256.195,18.0,9.0,0.0,1,october
706021,,,171665.302,36.0,18.0,0.0,1,october
760908,,,,,,,1,october
1170894,,13.15,4480.2029999999995,108.6,54.6,0.0,1,october
361868,,,31550.645,18.0,9.0,0.0,1,october
761595,,,0.0,24.0,12.0,0.0,1,october
932031,,,,,,,1,october
1165732,,,11868.167,36.0,18.0,0.0,1,october
850362,,4.033,4510.092000000001,20.0,10.0,0.0,1,october
904925,,7.2,0.0,80.77,40.385,0.0,1,october
560645,,,325.425,24.0,12.0,0.0,1,october
778855,,,56488.681,26.0,13.0,0.0,1,october
26344,,,1160.9360000000001,20.0,10.0,0.0,1,october
1310153,,1.2,7066.1269999999995,20.0,10.0,0.0,1,october
1085483,19.65,1.317,18987.005,20.0,10.0,0.0,1,october
157775,4.117,24.783,6150.4259999999995,20.0,10.0,0.0,1,october
207698,,,16893.336,18.04,9.02,0.0,1,october
55614,,,42560.457,18.0,9.0,0.0,1,october
21186,,,0.0,30.0,15.0,0.0,1,october
484883,,,32566.834,21.1,10.55,0.0,1,october
205464,,,75399.47,18.0,9.0,0.0,1,october
488441,,,,,,,1,october
940355,,,36280.822,18.0,9.0,0.0,1,october
1320790,,,0.0,159.678,79.839,0.0,1,october
857725,,,0.0,21.0,10.5,0.0,1,october
408079,,,26001.063,25.5,12.75,0.0,1,october
1360546,,,0.0,4.078,2.039,0.0,1,october
812688,,,67251.975,18.0,9.0,0.0,1,october
150036,,,0.0,138.0,69.0,0.0,1,october
403608,,97.583,6141.656,30.2,15.1,0.0,1,october
1337899,,,0.0,4.0,2.0,0.0,1,october
938707,,,,,,,1,october
1032818,,,48733.532999999996,18.0,9.0,0.0,1,october
543141,,,18674.725,18.0,9.0,0.0,1,october
879970,,,0.0,60.0,30.0,0.0,1,october
1122854,23.366999999999997,81.383,6103.326999999999,20.452,10.226,0.0,1,october
1360253,0.883,35.7,4611.119000000001,88.522,47.285,0.0,1,october
1242825,,,44437.051,36.0,18.0,0.0,1,october
100166,,,0.0,15.392000000000001,7.696000000000001,0.0,1,october
162024,,,32175.915,18.0,9.0,0.0,1,october
569731,,,18952.471999999998,26.0,13.0,0.0,1,october
591825,,,41685.415,39.0,19.5,0.0,1,october
923546,,,25958.107999999997,28.0,14.0,0.0,1,october
1128374,,4.2330000000000005,15882.398000000001,30.0,15.0,0.0,1,october
711249,,,148309.745,26.0,13.0,0.0,1,october
698058,,,11414.295,26.0,13.0,0.0,1,october
684951,,8.667,1370.599,24.776,12.388,0.0,1,october
1284571,,,0.0,36.0,18.0,0.0,1,october
1187240,,,,,,,1,october
1261175,,,3658.9040000000005,20.0,10.0,0.0,1,october
688404,,,51688.28599999999,32.0,16.0,0.0,1,october
270013,,,19892.881,18.0,9.0,0.0,1,october
495252,,212.417,18889.543,60.1,30.05,0.0,1,october
967055,5.867000000000001,236.217,40335.625,60.0,30.0,0.0,1,october
359840,,,,,,,1,october
721079,,,64223.176,28.2,14.1,0.0,1,october
7957,,106.617,7335.956,30.39,18.235,0.0,1,october
1300772,,,28779.99,66.0,33.0,0.0,1,october
725619,,,15232.943000000001,26.0,13.0,0.0,1,october
167304,,,27469.285,20.4,10.2,0.0,1,october
688908,,,46691.787000000004,9.0,9.0,0.0,1,november
775876,,,49616.814000000006,9.0,9.0,0.0,1,november
1016759,,,78207.523,18.0,18.0,0.0,1,november
78933,,128.65,749.977,34.15,34.15,0.15,1,november
542253,,2.35,5120.254,10.0,10.0,0.0,1,november
103177,,,60596.794,9.0,9.0,0.0,1,november
46198,,,934.419,18.0,18.0,0.0,1,november
205487,,,23894.976000000002,9.0,9.0,0.0,1,november
709072,,,21085.681,12.484000000000002,12.484000000000002,0.0,1,november
116633,,,0.0,2.0,3.4,0.0,1,november
586699,,,82458.077,9.0,9.0,0.0,1,november
525864,0.55,,6065.601,10.0,10.0,0.0,1,november
1018532,20.267,69.217,2472.8379999999997,19.42,19.42,0.0,1,november
1423146,,228.233,5551.56,30.0,30.0,0.0,1,november
312693,,,17249.131,9.0,9.0,0.0,1,november
774160,,,10823.268,18.0,18.0,0.0,1,november
890376,,,,,,,1,november
1064022,,,39549.904,9.0,9.0,0.0,1,november
703114,,,35179.31,15.387,15.387,0.0,1,november
663741,,,0.0,12.0,12.0,0.0,1,november
268373,,,7634.036,13.0,13.0,0.0,1,november
182966,,,19561.818,13.0,13.0,0.0,1,november
1209734,,,2880.474,18.0,18.0,0.0,1,november
1322172,,5.45,2720.9559999999997,11.046,13.058,0.0,1,november
1202956,10.0,318.91700000000003,22142.289,28.78,28.78,0.0,1,november
1018981,,23.416999999999998,10611.133999999998,15.0,15.0,0.0,1,november
1076166,,,,,,,1,november
1392288,,75.017,35794.737,30.0,30.0,0.0,1,november
961345,,,0.0,15.0,17.95,0.0,1,november
1228708,,,0.091,23.535999999999998,23.535999999999998,0.0,1,november
965191,,,0.0,10.0,10.0,0.0,1,november
29946,,,0.0,18.0,18.0,0.0,1,november
488242,,,23012.438,9.0,9.0,0.0,1,november
972133,,,45000.402,13.0,13.0,0.0,1,november
1435471,,,,,,,1,november
1090039,9.517000000000001,23.25,1714.126,10.0,10.0,0.0,1,november
156436,,,95638.57400000001,9.0,9.0,0.0,1,november
204023,,,23424.527000000002,11.0,11.0,0.0,1,november
1343167,,6.983,14159.841999999999,14.134,14.212,0.0,1,november
1211306,,,46377.549000000006,18.0,18.0,0.0,1,november
863060,,,,,,,1,november
662789,,,13871.087,9.05,9.05,0.0,1,november
730106,,,74442.741,18.0,18.0,0.0,1,november
278001,,,35825.663,9.0,9.0,0.0,1,november
99562,,,9998.711,9.0,9.0,0.0,1,november
352111,,,0.0,20.0,20.0,0.0,1,november
762779,,,45765.727999999996,9.0,9.0,0.0,1,november
584045,,,114363.521,18.0,18.0,0.0,1,november
1199269,,,,,,,1,november
221711,,,37071.413,9.0,9.0,0.0,1,november
1296922,,,81.59100000000001,43.618,45.318000000000005,0.0,1,november
1195448,,,32632.678,18.0,18.0,0.0,1,november
620467,,90.18299999999999,6402.772,10.0,10.0,0.0,1,november
1024046,,46.467,5241.008,33.686,34.16,0.0,1,november
1038122,,,26940.985,9.0,9.0,0.0,1,november
1057858,,78.417,13636.326000000001,15.0,15.0,0.0,1,november
166976,,,35032.672999999995,9.0,9.0,0.0,1,november
958655,,102.76700000000001,21812.82,41.006,41.786,0.0,1,november
1002812,,,,,,,1,november
1028106,,,61546.105,18.0,18.0,0.0,1,november
8346,,8.867,8.974,20.0,20.0,0.0,1,november
1306247,,,125836.151,13.0,15.25,0.0,1,november
567768,,,32670.001,18.0,18.0,0.0,1,november
349898,,,36820.036,9.0,9.0,0.0,1,november
840362,9.833,0.317,16695.301,165.31,165.31,0.0,1,november
1285612,,,46931.789000000004,18.0,18.0,0.0,1,november
239846,,19.433,30091.283,30.0,30.0,0.0,1,november
1212168,,,0.0,13.0,13.0,0.0,1,november
24296,,0.8,2713.408,10.0,10.0,0.0,1,november
462380,,,28852.71,18.0,18.0,0.0,1,november
1227729,,,24287.581000000002,18.0,18.0,0.0,1,november
324791,,,45528.252,9.0,9.0,0.0,1,november
402906,,9.467,384.994,40.7,42.45,0.0,1,november
1258491,,,,,,,1,november
398751,,,12186.287,9.0,9.0,0.0,1,november
1390072,,,24566.999,30.0,30.0,0.0,1,november
613327,,1.117,682.811,15.15,15.15,0.0,1,november
333639,,,56448.912000000004,9.05,9.05,0.0,1,november
750711,,,0.0,12.0,12.0,0.0,1,november
190562,,117.633,12164.649,30.0,30.0,0.0,1,november
337241,,,0.0,2.0,2.0,0.0,1,november
1131212,,,0.0,15.0,15.75,0.0,1,november
135629,,,30097.852000000003,9.0,9.0,0.0,1,november
1284146,,,6732.854,18.0,18.0,0.0,1,november
184627,,,97037.196,14.806,14.806,0.0,1,november
167926,,,84131.23199999999,11.0,11.0,0.0,1,november
828458,,,5200.723,18.05,18.05,0.0,1,november
585020,,,16934.442,9.0,9.0,0.0,1,november
1309700,,,8682.021,36.0,36.0,0.0,1,november
201615,,,30738.52,9.0,9.0,0.0,1,november
891587,,,,,,,1,november
886445,22.733,,11723.309,10.626,10.626,0.0,1,november
1281653,,,0.0,2.0,2.0,0.0,1,november
1349204,6.017,181.783,29774.072999999997,40.0,40.0,0.0,1,november
1073535,,,54402.258,9.0,9.0,0.0,1,november
686989,,,40416.242999999995,18.0,18.0,0.0,1,november
835205,,24.95,8102.507,10.0,10.0,0.0,1,november
1450239,,,0.0,52.233000000000004,52.233000000000004,0.0,1,november
572288,,,10208.851999999999,18.0,18.0,0.0,1,november
850635,,,0.0,97.581,97.581,0.0,1,november
26614,,,0.0,10.0,10.0,0.0,1,november
476521,,,78303.83099999999,11.0,11.0,0.0,1,november
1130747,,26.25,5465.5740000000005,18.211,18.211,0.0,1,november
803295,,,7184.395,9.0,9.0,0.0,1,november
747459,,,26944.211,13.0,13.0,0.0,1,november
645248,,,89041.198,9.0,9.0,0.0,1,november
246680,,,24030.627999999997,9.0,9.0,0.0,1,november
93625,,,34478.08,13.0,13.0,0.0,1,november
330789,,,8984.435,11.0,11.0,0.0,1,november
649405,,,28594.338,7.0,7.0,0.0,1,november
83221,6.55,5.167000000000001,4279.307,10.0,10.0,0.0,1,november
352135,,,46477.799000000006,9.0,9.0,0.0,1,november
1046696,,,13996.383999999998,9.0,9.0,0.0,1,november
1003266,,,,,,,1,november
1281214,,411.15,2198.049,41.576,44.076,0.0,1,november
145807,,,0.0,12.0,12.0,0.0,1,november
